Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category_Predicted
Heather Clark,Female,17,Thailand,Morales-Wheeler School,Cape Town,8.0,1524.0,84.0,English,No,No,3.17,Excellent
Colleen Vasquez,Male,18,Italy,"Myers, Beard and Lawson School",Paris,7.0,1372.0,80.0,French,No,No,1.72,Average
Frank Smith,Female,19,Philippines,Campbell-Knapp School,Dubai,9.0,1500.0,62.0,English,Yes,Yes,2.78,Good
Daniel Robinson,Male,19,Colombia,"Cook, Rodriguez and Harris School",Sydney,10.0,1565.0,99.0,German,Yes,Yes,3.69,Excellent
Wayne Ryan,Male,18,Nigeria,Mcclain-Arellano School,Paris,7.0,1429.0,75.0,Spanish,Yes,Yes,2.21,Good
Gregory Allen,Female,18,Russia,Pope and Sons School,Dubai,9.0,1272.0,66.0,French,No,No,0.69,Poor
Justin Burton,Male,18,South Africa,Todd-Wilson School,Paris,7.0,1308.0,87.0,English,Yes,Yes,1.18,Average
Stephen Rogers,Male,18,Iran,Sims PLC School,Chicago,8.0,1279.0,71.0,French,No,Yes,0.79,Poor
John Boyd,Female,18,France,Green-Vang School,New York,8.0,1299.0,83.0,English,Yes,No,1.07,Average
Chelsea Anderson,Male,19,Canada,Brooks Inc School,Houston,10.0,1323.0,83.0,French,Yes,Yes,1.31,Average
Michael Ortiz,Male,18,Thailand,Campbell-Lloyd School,Beijing,8.0,1422.0,78.0,French,Yes,Yes,2.17,Good
Marcus Allen,Male,17,US,Diaz Group School,Dubai,7.0,1435.0,93.0,English,Yes,Yes,2.41,Good
Zachary David,Male,19,Colombia,Leach PLC School,London,6.0,1371.0,71.0,English,Yes,Yes,1.63,Average
Juan Ramsey,Male,19,Russia,Calhoun LLC School,Phoenix,7.0,1446.0,78.0,Spanish,Yes,No,2.39,Good
Jeffrey Scott,Female,17,Brazil,Bernard-Hutchinson School,London,7.0,1233.0,82.0,French,Yes,No,0.44,Poor
Jacqueline Blackwell,Male,17,Japan,"Newton, Sanchez and Davis School",Dubai,7.0,1235.0,87.0,English,Yes,Yes,0.5,Poor
Taylor Burgess MD,Female,19,South Korea,"Davidson, Griffin and Lewis School",Phoenix,9.0,1269.0,91.0,French,Yes,No,0.86,Poor
Brandon Deleon,Female,18,Spain,Watson-Robinson School,Dubai,8.0,1407.0,76.0,English,Yes,No,2.02,Good
Jamie Carr,Female,19,Colombia,Marshall Ltd School,Los Angeles,8.0,1286.0,86.0,German,Yes,No,0.97,Poor
Gloria Wade,Male,19,Italy,Gomez PLC School,Sydney,6.0,1313.0,66.0,German,No,Yes,1.05,Average
Craig Parker,Female,17,Philippines,Miller-Hamilton School,Beijing,9.0,1360.0,97.0,French,Yes,No,1.76,Average
Katherine Nelson,Male,19,France,Moore and Sons School,Berlin,9.0,1525.0,75.0,Spanish,No,No,3.11,Excellent
Katherine Anderson,Female,18,Turkey,Dougherty Ltd School,Chicago,6.0,1206.0,89.0,Spanish,No,No,0.24,Poor
Kelly Farrell,Male,17,US,"Green, Carrillo and Nunez School",Berlin,9.0,1460.0,61.0,English,No,Yes,2.39,Good
Valerie Silva,Male,19,Mexico,Porter-Duke School,London,8.0,1468.0,68.0,French,Yes,Yes,2.52,Good
Kimberly Rubio,Female,19,Turkey,Oconnor Ltd School,Cape Town,6.0,1519.0,79.0,French,No,Yes,3.08,Excellent
Mariah Davis,Male,18,Brazil,Myers-Williams School,Phoenix,8.0,1573.0,95.0,English,Yes,No,3.72,Excellent
Jennifer Mitchell,Male,19,China,"Moore, King and Bradley School",Dubai,8.0,1208.0,81.0,German,No,No,0.21,Poor
Stanley Fitzgerald,Female,19,France,Garza and Sons School,Cape Town,7.0,1262.0,97.0,French,Yes,No,0.84,Poor
Sheila Norton,Male,19,Mexico,Cruz-Martin School,Beijing,10.0,1554.0,79.0,French,No,No,3.42,Excellent
Mr. Brian Hogan III,Male,19,Italy,Chan-Lee School,New York,9.0,1383.0,80.0,Spanish,Yes,No,1.83,Average
Danielle Schmidt,Male,18,Argentina,Wright and Sons School,Moscow,9.0,1426.0,65.0,German,No,Yes,2.11,Good
Glenn Cochran,Female,19,Turkey,Duncan-Morales School,Phoenix,8.0,1465.0,92.0,German,Yes,Yes,2.69,Good
Michael Ferguson,Female,19,Canada,Holt-Cummings School,Tokyo,8.0,1472.0,70.0,French,Yes,Yes,2.57,Good
Cory Kennedy,Male,19,Japan,Duarte-Jones School,Paris,9.0,1573.0,96.0,French,Yes,No,3.73,Excellent
Bruce Phillips,Female,17,Vietnam,"Mitchell, Rose and Bullock School",Chicago,8.0,1599.0,96.0,French,No,Yes,3.97,Excellent
Derrick Evans,Female,18,South Africa,Simon Ltd School,Tokyo,6.0,1488.0,98.0,Spanish,Yes,No,2.94,Good
Lisa Morris,Male,17,Japan,"Campbell, Brown and Price School",Tokyo,8.0,1315.0,81.0,Spanish,No,No,1.2,Average
Brian Moore,Male,17,Canada,"Ingram, Thomas and Donovan School",Beijing,9.0,1552.0,87.0,Spanish,Yes,No,3.46,Excellent
Kyle Bryant,Female,18,Australia,Espinoza Inc School,Dubai,8.0,1220.0,91.0,French,Yes,No,0.4,Poor
Christopher Collins,Male,17,Bangladesh,Moran-Morgan School,Beijing,6.0,1292.0,65.0,English,No,Yes,0.85,Poor
Stephen Chen,Male,17,Philippines,Gray Ltd School,Phoenix,9.0,1559.0,84.0,English,No,No,3.5,Excellent
Susan Booth,Female,17,Egypt,"Hood, Goodman and Miller School",Beijing,7.0,1302.0,61.0,French,Yes,No,0.91,Poor
Jennifer Nicholson,Male,18,Canada,Burns PLC School,Cape Town,7.0,1288.0,80.0,French,No,No,0.94,Poor
Erika Martinez,Male,19,Indonesia,"Martinez, Silva and Sampson School",Beijing,7.0,1255.0,66.0,Spanish,Yes,Yes,0.52,Poor
Summer Matthews,Female,18,Iran,Romero-Williams School,Paris,7.0,1544.0,67.0,French,Yes,No,3.22,Excellent
Tabitha Davis,Female,18,Argentina,"Contreras, Martin and Carter School",Paris,9.0,1400.0,75.0,French,Yes,No,1.95,Average
Joseph Johnston,Male,18,Russia,King Ltd School,London,8.0,1470.0,77.0,French,Yes,No,2.61,Good
Brenda Mccall,Male,17,Pakistan,Ayala-Cole School,New York,7.0,1296.0,85.0,Spanish,No,No,1.05,Average
Cindy Mathis,Male,19,Argentina,Pitts-Miller School,Beijing,10.0,1503.0,63.0,Spanish,Yes,No,2.82,Good
Lisa Bailey,Male,18,South Korea,Payne-Vaughn School,Dubai,10.0,1504.0,80.0,German,No,No,2.96,Good
Douglas Hickman,Female,18,Mexico,Baldwin Ltd School,Berlin,9.0,1325.0,67.0,German,No,Yes,1.19,Average
Joshua Vance,Male,19,India,"Carey, Schneider and Casey School",Houston,7.0,1364.0,83.0,English,Yes,No,1.67,Average
Larry Jennings,Female,19,UK,Macdonald-Cunningham School,Dubai,8.0,1284.0,85.0,English,Yes,No,0.95,Poor
Nicole Freeman,Female,19,China,"Tran, Jones and Ballard School",Moscow,10.0,1591.0,82.0,German,No,No,3.79,Excellent
Matthew Williams,Female,17,South Korea,Rasmussen LLC School,Beijing,9.0,1458.0,90.0,Spanish,Yes,No,2.61,Good
Tamara Henry,Female,19,Iran,"Chambers, Roach and Carlson School",Phoenix,6.0,1574.0,73.0,Spanish,Yes,Yes,3.54,Excellent
Andrew Lewis,Female,17,Australia,Bird-Schneider School,Toronto,6.0,1321.0,91.0,French,Yes,Yes,1.33,Average
Calvin Pineda,Female,18,Japan,"Carr, Kennedy and Rodriguez School",Chicago,8.0,1513.0,77.0,French,No,No,3.01,Excellent
Shawn White,Male,17,Pakistan,Scott-Jacobs School,Phoenix,10.0,1506.0,79.0,German,No,No,2.98,Good
Jeffrey Nguyen,Male,19,Italy,"Gomez, Brown and Spencer School",Berlin,8.0,1477.0,86.0,German,Yes,No,2.75,Good
Zachary Miller,Male,17,Thailand,Jordan PLC School,New York,8.0,1586.0,61.0,English,No,Yes,3.56,Excellent
Kevin Rodriguez,Male,19,South Africa,Walker-Thomas School,Houston,6.0,1357.0,86.0,German,Yes,Yes,1.63,Average
Ryan Miller,Male,17,Japan,"Woods, Torres and Hayes School",Dubai,9.0,1252.0,85.0,French,No,Yes,0.66,Poor
Brandi Rodriguez,Female,18,Bangladesh,Malone Ltd School,Paris,9.0,1469.0,72.0,Spanish,Yes,No,2.57,Good
Gregory White,Male,17,Canada,Blake and Sons School,Vancouver,8.0,1492.0,63.0,German,No,No,2.7,Good
Emily Benson,Female,18,Philippines,English-Glover School,Tokyo,9.0,1430.0,64.0,Spanish,Yes,Yes,2.14,Good
Andre Riggs,Male,19,Nigeria,Thompson-Gomez School,Berlin,10.0,1283.0,97.0,English,Yes,Yes,1.05,Average
Anthony Nelson,Male,18,Italy,"Lopez, Yates and Edwards School",Moscow,7.0,1402.0,88.0,Spanish,No,Yes,2.07,Good
Sarah Jones,Female,19,Pakistan,Graves and Sons School,Berlin,8.0,1325.0,65.0,French,No,No,1.17,Average
Theresa Olson,Female,19,Mexico,Macias Group School,Paris,7.0,1371.0,74.0,Spanish,No,Yes,1.66,Average
Anna Johnson,Male,18,South Africa,Cole-Allison School,Cape Town,9.0,1458.0,84.0,English,Yes,Yes,2.56,Good
Andrew Welch,Female,18,Egypt,"Rose, Thomas and Gonzales School",Beijing,8.0,1498.0,93.0,Spanish,No,Yes,3.0,Good
April Chavez,Female,17,Argentina,Hood PLC School,Phoenix,9.0,1293.0,62.0,German,No,No,0.85,Poor
Laura Sellers,Female,17,South Africa,Walker-Welch School,New York,9.0,1362.0,69.0,French,No,Yes,1.55,Average
Dr. Kathleen Hill,Male,18,Bangladesh,"Howell, Schaefer and Bishop School",Beijing,8.0,1308.0,96.0,German,No,Yes,1.26,Average
Sandra Brady,Female,18,Italy,Chase LLC School,Sydney,10.0,1279.0,60.0,German,No,Yes,0.71,Poor
Julie Clark,Female,18,Iran,Wiggins-Adams School,London,8.0,1513.0,68.0,French,Yes,Yes,2.94,Good
Stephanie Montgomery,Female,18,Italy,Brewer-Wagner School,Toronto,7.0,1564.0,98.0,English,Yes,Yes,3.65,Excellent
Belinda Bautista,Male,19,Brazil,Ibarra LLC School,Chicago,9.0,1348.0,85.0,French,Yes,No,1.55,Average
Nicholas Smith,Male,18,Turkey,"Chavez, Patterson and Odonnell School",Toronto,9.0,1501.0,70.0,English,No,Yes,2.85,Good
Jaime Patterson,Female,18,Italy,Jones-Jones School,London,7.0,1559.0,63.0,Spanish,No,Yes,3.32,Excellent
Matthew Reed,Female,18,UK,Tyler PLC School,Berlin,9.0,1538.0,61.0,English,Yes,No,3.12,Excellent
Steven Cross,Female,18,South Korea,Holt-Martin School,Vancouver,10.0,1273.0,70.0,French,Yes,No,0.73,Poor
Adam Peterson,Male,19,Italy,Reyes Inc School,Houston,7.0,1583.0,95.0,English,Yes,Yes,3.81,Excellent
Susan Wu,Male,17,Argentina,Fernandez-Allen School,Phoenix,10.0,1351.0,77.0,English,No,No,1.52,Average
Norman Nicholson,Male,17,Argentina,Christensen-Jackson School,Beijing,7.0,1336.0,89.0,German,No,Yes,1.46,Average
Jennifer Medina,Male,17,Iran,Malone-Collins School,Phoenix,7.0,1225.0,97.0,German,No,No,0.49,Poor
Amanda Baldwin,Female,17,Japan,Olsen-Nunez School,Dubai,7.0,1394.0,76.0,English,Yes,Yes,1.89,Average
Emily Jones,Male,17,Philippines,Powell LLC School,Sydney,10.0,1244.0,68.0,French,Yes,No,0.45,Poor
Andrew Alvarez,Female,19,Nigeria,Stewart and Sons School,Vancouver,9.0,1299.0,81.0,German,No,Yes,1.06,Average
Richard Lynch,Female,17,Spain,"Villarreal, Rodriguez and Meza School",Toronto,7.0,1327.0,96.0,French,Yes,Yes,1.43,Average
Crystal Silva,Female,19,Colombia,Pierce Group School,Tokyo,8.0,1524.0,92.0,French,No,No,3.24,Excellent
Timothy Randolph,Male,19,UK,"Peterson, Rivera and Burton School",Dubai,8.0,1550.0,63.0,French,No,No,3.24,Excellent
Sharon Bryant,Male,17,Bangladesh,Rodriguez-Young School,Los Angeles,6.0,1321.0,88.0,English,Yes,Yes,1.31,Average
Jonathan Nelson,Female,17,Japan,Davis Inc School,Chicago,10.0,1543.0,83.0,Spanish,No,No,3.35,Excellent
Amy Rivera,Male,17,Japan,"Perez, Decker and Lawson School",New York,9.0,1543.0,96.0,English,No,Yes,3.45,Excellent
Catherine Ramirez,Female,18,France,Ingram and Sons School,Sydney,8.0,1506.0,65.0,Spanish,No,No,2.85,Good
Jo Hill,Female,19,Indonesia,Tucker-Johnson School,Sydney,10.0,1259.0,81.0,English,No,Yes,0.69,Poor
Terri Bailey,Male,17,Canada,"Lopez, Allen and Smith School",Moscow,8.0,1476.0,95.0,German,No,Yes,2.82,Good
Shirley Gibson,Male,18,UK,Copeland-Burns School,Berlin,10.0,1578.0,76.0,French,No,No,3.62,Excellent
Christopher Smith,Female,19,China,Pitts Inc School,Berlin,9.0,1473.0,79.0,French,Yes,Yes,2.66,Good
Donald Werner,Male,18,India,Brown-Patel School,Sydney,9.0,1333.0,63.0,French,No,Yes,1.23,Average
Cynthia Mcmillan,Male,18,Vietnam,"Lewis, Mcneil and Moreno School",Vancouver,7.0,1400.0,71.0,English,Yes,No,1.91,Average
Caleb Boyd,Male,17,Mexico,Fox Inc School,Berlin,10.0,1458.0,73.0,German,No,Yes,2.48,Good
Andrew Hall,Female,19,South Korea,Higgins PLC School,Houston,8.0,1404.0,98.0,French,No,No,2.17,Good
Victoria Smith,Female,18,Japan,Petty-Davis School,Houston,7.0,1248.0,71.0,French,No,Yes,0.49,Poor
Danielle Craig,Male,19,Italy,"Delacruz, Tate and Diaz School",Berlin,6.0,1325.0,78.0,English,No,Yes,1.26,Average
Jessica Torres,Male,17,China,"Richards, Anderson and Johnston School",Sydney,8.0,1521.0,87.0,English,No,Yes,3.17,Excellent
Sean Perez,Male,19,Pakistan,"Roy, Robinson and Avery School",Berlin,8.0,1545.0,66.0,Spanish,Yes,No,3.22,Excellent
James Sullivan,Male,18,Russia,"Jensen, Klein and Boyd School",Phoenix,9.0,1255.0,79.0,French,Yes,No,0.63,Poor
Dustin Martinez,Female,18,Turkey,"Miller, Reilly and Curry School",Los Angeles,10.0,1581.0,90.0,German,No,No,3.76,Excellent
Martin Young,Male,19,Indonesia,Cross-Rush School,Cape Town,6.0,1332.0,95.0,German,No,No,1.47,Average
Joseph Forbes,Male,18,Russia,Simon-Berg School,Paris,9.0,1465.0,85.0,Spanish,No,No,2.64,Good
Martha Mason,Female,18,Russia,Richards-Everett School,Los Angeles,7.0,1501.0,87.0,Spanish,Yes,Yes,2.98,Good
Michael Thomas,Female,18,South Africa,Nguyen-Bennett School,Paris,9.0,1525.0,65.0,French,No,Yes,3.03,Excellent
Michelle Daniels,Female,17,Argentina,"Miller, Foster and Santana School",Sydney,9.0,1578.0,98.0,French,Yes,Yes,3.8,Excellent
Donna Singh,Female,17,Bangladesh,Thomas-Griffin School,Sydney,8.0,1325.0,65.0,English,Yes,Yes,1.17,Average
Bethany Gates,Male,18,Philippines,Thompson PLC School,Berlin,9.0,1543.0,91.0,German,Yes,No,3.41,Excellent
Nicole Cox,Female,19,Italy,Duncan PLC School,Cape Town,7.0,1253.0,71.0,German,No,No,0.54,Poor
Rebecca Rogers,Female,17,South Korea,Hall Ltd School,Toronto,8.0,1482.0,97.0,French,No,Yes,2.89,Good
Kimberly Kramer,Female,19,Russia,"Galloway, Smith and Henderson School",Los Angeles,9.0,1497.0,89.0,English,No,No,2.97,Good
Gary Gutierrez,Male,18,Iran,Montoya-Martin School,Vancouver,8.0,1471.0,90.0,Spanish,Yes,No,2.73,Good
Scott Price,Male,18,France,"Zimmerman, Dominguez and Leonard School",Tokyo,7.0,1301.0,69.0,German,Yes,Yes,0.97,Poor
Gloria Mann,Male,19,Pakistan,Bass-Kim School,Los Angeles,8.0,1549.0,78.0,Spanish,Yes,Yes,3.36,Excellent
Justin Glass,Male,17,Germany,Lucas-Rivera School,Sydney,9.0,1268.0,85.0,French,Yes,Yes,0.8,Poor
Julie Fitzgerald,Female,19,UK,Deleon Inc School,Sydney,7.0,1221.0,91.0,French,No,No,0.41,Poor
Carlos Campbell,Female,19,US,Torres-Nash School,Berlin,7.0,1487.0,64.0,French,No,No,2.66,Good
Terri Anderson,Female,18,Bangladesh,Ayala-Davis School,New York,9.0,1390.0,98.0,Spanish,Yes,No,2.05,Good
Alexandria Carpenter,Female,17,Germany,Torres Ltd School,Paris,9.0,1540.0,96.0,French,No,Yes,3.43,Excellent
Nicholas Miller,Male,19,Philippines,"King, Ramirez and Lopez School",Sydney,6.0,1353.0,71.0,German,Yes,No,1.47,Average
Megan Larson,Male,17,China,Neal PLC School,Paris,7.0,1267.0,93.0,Spanish,Yes,Yes,0.85,Poor
James White,Female,18,Pakistan,Wilson-Bailey School,Vancouver,7.0,1535.0,81.0,German,No,No,3.25,Excellent
Kim Armstrong,Female,17,Canada,"Brown, Parker and Jones School",Paris,7.0,1420.0,78.0,English,No,Yes,2.15,Good
Katherine Stephens DDS,Female,18,Brazil,Holmes Group School,Dubai,8.0,1276.0,73.0,English,Yes,Yes,0.78,Poor
Angela Norman,Female,17,Brazil,"Barnes, Davis and Acosta School",Houston,9.0,1488.0,83.0,Spanish,Yes,No,2.84,Good
Robert Price,Female,19,France,Arroyo-Williams School,Vancouver,9.0,1404.0,89.0,French,Yes,Yes,2.1,Good
Patricia Gutierrez,Male,18,Iran,Garcia and Sons School,Vancouver,8.0,1442.0,76.0,French,Yes,Yes,2.34,Good
Jason Schroeder,Female,19,Canada,"Parker, Roberts and Cruz School",Beijing,7.0,1384.0,85.0,French,No,Yes,1.87,Average
Gary Roberts,Female,18,South Korea,Mcguire-Bush School,Phoenix,9.0,1531.0,88.0,French,No,Yes,3.28,Excellent
Ruth Flores,Female,17,Japan,"Brown, Mcgee and Maxwell School",Vancouver,8.0,1532.0,88.0,Spanish,No,No,3.28,Excellent
Jennifer Guzman,Male,17,Bangladesh,Cardenas PLC School,Sydney,10.0,1484.0,62.0,Spanish,Yes,Yes,2.63,Good
Jessica Martinez,Male,18,Philippines,Gonzales LLC School,Berlin,9.0,1242.0,94.0,German,Yes,Yes,0.64,Poor
Deanna Burns,Male,18,Spain,Miller-Harper School,New York,7.0,1536.0,78.0,Spanish,No,No,3.23,Excellent
Jacob Sampson,Male,18,Pakistan,"Nelson, Thompson and Donaldson School",Sydney,9.0,1468.0,70.0,Spanish,Yes,Yes,2.54,Good
Mitchell Lane,Female,17,Philippines,"Walker, Newton and Cannon School",Chicago,7.0,1479.0,70.0,German,Yes,Yes,2.63,Good
Henry Cole,Male,18,Mexico,Kennedy-Torres School,Houston,9.0,1345.0,79.0,French,Yes,No,1.47,Average
Tara Hunt MD,Female,18,UK,Allen-Santos School,Los Angeles,6.0,1552.0,95.0,English,Yes,Yes,3.51,Excellent
Daniel Rivera,Male,19,Spain,"Proctor, Crane and Oconnor School",Phoenix,7.0,1490.0,75.0,English,Yes,Yes,2.78,Good
Ryan Vasquez,Male,18,Indonesia,Smith-Hicks School,Vancouver,9.0,1245.0,90.0,German,Yes,No,0.63,Poor
Cynthia Haley,Female,19,Italy,Massey-Brown School,Tokyo,7.0,1363.0,64.0,English,Yes,No,1.51,Average
Jennifer Fletcher,Male,19,Japan,Jones-Jimenez School,Tokyo,9.0,1555.0,79.0,German,No,No,3.43,Excellent
Paula Johnson,Male,19,China,Paul-English School,Berlin,7.0,1219.0,100.0,Spanish,No,No,0.46,Poor
Sharon Marquez,Male,17,Argentina,Hall Group School,Toronto,9.0,1585.0,91.0,Spanish,No,No,3.8,Excellent
Jo Moon,Female,19,India,Robinson-Martin School,Paris,9.0,1472.0,68.0,French,No,No,2.56,Good
Anne Brown,Female,18,France,Martin Group School,Cape Town,8.0,1453.0,80.0,French,No,Yes,2.48,Good
Catherine Ayala,Female,17,Vietnam,"Walker, Arroyo and Wong School",Phoenix,7.0,1308.0,69.0,German,No,Yes,1.04,Average
Nathan Smith,Male,17,Nigeria,Hayes-Morris School,Toronto,7.0,1300.0,76.0,German,Yes,Yes,1.02,Average
Mitchell Cannon Jr.,Male,17,Bangladesh,"Robertson, Ayala and Martinez School",Tokyo,6.0,1577.0,91.0,French,Yes,Yes,3.71,Excellent
Michael Freeman,Female,17,Canada,Weaver-Jones School,Los Angeles,7.0,1319.0,91.0,Spanish,Yes,Yes,1.32,Average
Jennifer Johnson,Female,17,Japan,"Thomas, Kline and Garner School",Berlin,9.0,1510.0,69.0,Spanish,No,Yes,2.93,Good
William Campos,Male,17,Argentina,"Contreras, Williams and Cisneros School",Houston,10.0,1357.0,97.0,Spanish,Yes,Yes,1.74,Average
Mr. David Johnson,Male,17,India,Harris LLC School,Sydney,9.0,1256.0,84.0,French,Yes,Yes,0.68,Poor
Kenneth Bonilla,Female,19,Bangladesh,"Bradley, Moore and Castro School",Chicago,9.0,1204.0,75.0,English,Yes,Yes,0.13,Poor
Mariah Brown,Male,18,Thailand,Smith-Lee School,Sydney,9.0,1418.0,80.0,English,Yes,No,2.16,Good
Deborah Phillips MD,Female,18,Egypt,Rivera LLC School,Tokyo,9.0,1590.0,84.0,English,Yes,No,3.79,Excellent
Mrs. Diana Perry,Female,19,Bangladesh,Johnson-Jackson School,Los Angeles,7.0,1348.0,82.0,English,No,No,1.51,Average
Jose Green,Male,19,US,Mcneil-Thompson School,London,10.0,1343.0,79.0,French,Yes,Yes,1.46,Average
Kimberly Stewart,Female,17,Japan,"Myers, Davis and James School",Toronto,9.0,1338.0,80.0,Spanish,No,Yes,1.41,Average
Kurt Ortiz,Male,17,Indonesia,Barnes LLC School,Los Angeles,8.0,1408.0,67.0,Spanish,No,Yes,1.95,Average
Margaret Mckinney,Male,19,South Africa,"Bernard, Maldonado and Hartman School",Phoenix,6.0,1376.0,93.0,German,Yes,Yes,1.86,Average
Dr. Cheryl Fitzgerald MD,Female,17,India,Buckley LLC School,Moscow,8.0,1552.0,82.0,Spanish,Yes,Yes,3.42,Excellent
Laura Grant,Male,18,Colombia,"Fisher, Davis and Lee School",Moscow,8.0,1402.0,65.0,French,No,No,1.88,Average
Amy Sullivan,Male,18,Japan,"Robertson, Monroe and Green School",Phoenix,9.0,1403.0,91.0,German,Yes,Yes,2.11,Good
Nancy Berg,Female,17,Germany,"Valdez, Glover and Wilson School",Vancouver,8.0,1255.0,97.0,German,No,Yes,0.78,Poor
Tiffany Warren,Female,17,Egypt,"Bowman, Sweeney and Moore School",Phoenix,8.0,1593.0,98.0,French,No,No,3.93,Excellent
Dan Brown,Female,17,South Africa,Moon-Miles School,Phoenix,10.0,1300.0,75.0,German,No,Yes,1.03,Average
Ashley Miller,Female,18,Russia,Farrell-Ware School,Chicago,6.0,1229.0,65.0,German,Yes,Yes,0.26,Poor
Amy Randolph,Female,17,Nigeria,Mcdaniel-Gordon School,Chicago,8.0,1465.0,81.0,Spanish,No,No,2.6,Good
Michael Brown,Female,19,Italy,"Bruce, Holland and Merritt School",Vancouver,6.0,1438.0,65.0,German,No,No,2.21,Good
Chad Powell,Female,17,Philippines,Brown LLC School,Dubai,9.0,1366.0,97.0,English,No,No,1.81,Average
Kathleen Fletcher,Female,19,Philippines,Kirk-Brown School,Moscow,10.0,1369.0,67.0,French,Yes,No,1.6,Average
Luke Johnson,Female,17,Spain,Valdez Inc School,London,7.0,1514.0,70.0,French,No,Yes,2.96,Good
Michael Brewer,Female,17,Argentina,"Myers, Brown and Saunders School",Paris,9.0,1278.0,76.0,English,Yes,No,0.82,Poor
Patricia Oneal,Female,18,India,Mendoza-Marsh School,Los Angeles,7.0,1528.0,75.0,Spanish,No,Yes,3.13,Excellent
Marie Marshall DDS,Female,19,France,"Hughes, Griffin and Adams School",Berlin,10.0,1459.0,92.0,Spanish,No,No,2.64,Good
James Miranda,Male,19,Iran,Smith Group School,Beijing,9.0,1368.0,78.0,Spanish,No,Yes,1.68,Average
Vanessa Mitchell,Female,19,Canada,Cooley LLC School,Beijing,9.0,1383.0,67.0,French,Yes,Yes,1.73,Average
Karen Long,Male,18,Nigeria,"Powell, Vargas and Weaver School",Dubai,6.0,1303.0,71.0,Spanish,No,Yes,1.0,Poor
Edward Weiss,Female,19,Germany,Holt-Floyd School,Toronto,10.0,1501.0,80.0,French,Yes,No,2.94,Good
Adam Pennington Jr.,Female,18,South Africa,Williams LLC School,Chicago,9.0,1405.0,66.0,English,No,No,1.92,Average
Calvin Edwards,Female,17,France,Glass Inc School,Beijing,7.0,1328.0,84.0,English,No,No,1.34,Average
Rachael Bird,Male,17,Argentina,"Hart, Anthony and Terrell School",New York,9.0,1438.0,83.0,Spanish,No,Yes,2.37,Good
Rhonda Santos,Female,19,US,"Guerrero, Jones and Parker School",Berlin,7.0,1598.0,89.0,French,No,Yes,3.9,Excellent
Kyle Stewart,Female,17,Pakistan,Hickman Ltd School,Houston,9.0,1374.0,98.0,Spanish,Yes,Yes,1.9,Average
Zachary Ray,Male,17,Argentina,Smith Group School,Moscow,6.0,1568.0,96.0,English,Yes,No,3.67,Excellent
Melissa Powers,Male,19,Pakistan,Woodard Group School,Beijing,9.0,1338.0,98.0,Spanish,No,No,1.56,Average
Zachary Black,Male,17,Bangladesh,"Rios, Thomas and Hopkins School",Paris,8.0,1222.0,70.0,German,Yes,Yes,0.25,Poor
John Johnson,Female,19,Brazil,Wallace and Sons School,Phoenix,6.0,1282.0,65.0,Spanish,Yes,Yes,0.76,Poor
James Johnson,Male,19,Iran,Miller-Greer School,Tokyo,7.0,1367.0,72.0,English,Yes,No,1.61,Average
Melinda Mills,Female,17,Brazil,"Fuller, Murphy and Burns School",Dubai,6.0,1288.0,96.0,English,Yes,No,1.06,Average
Cynthia Jimenez,Male,17,China,Hopkins-Orozco School,Dubai,8.0,1200.0,99.0,French,No,No,0.28,Poor
Christopher Butler,Male,17,China,Conner and Sons School,Berlin,7.0,1566.0,94.0,French,No,Yes,3.64,Excellent
Melissa Palmer,Female,17,Argentina,Booker and Sons School,Vancouver,8.0,1538.0,64.0,German,No,Yes,3.14,Excellent
Keith Harris,Male,17,India,"Odonnell, Dalton and Nelson School",London,7.0,1497.0,98.0,Spanish,No,Yes,3.03,Excellent
Carla Reid,Female,18,South Korea,Blanchard-Chavez School,Paris,7.0,1267.0,77.0,French,Yes,No,0.72,Poor
Emily Jackson,Male,17,South Korea,"Ramirez, James and Morales School",Berlin,9.0,1248.0,60.0,Spanish,No,Yes,0.41,Poor
Victor Mitchell,Female,18,Bangladesh,Strickland Inc School,Moscow,6.0,1227.0,78.0,French,Yes,Yes,0.35,Poor
Tracy Hoffman,Female,19,Canada,Jordan-Williams School,Los Angeles,10.0,1490.0,62.0,German,No,Yes,2.69,Good
Wayne Robinson,Male,17,India,Davis-Mueller School,Dubai,9.0,1572.0,82.0,English,Yes,No,3.61,Excellent
Angel Erickson,Male,17,Pakistan,"Landry, Huang and Duffy School",Beijing,9.0,1372.0,74.0,Spanish,No,No,1.68,Average
Kristina Lopez,Female,17,Colombia,Maxwell-Kim School,Tokyo,8.0,1248.0,79.0,Spanish,No,Yes,0.56,Poor
Beverly Mcdaniel,Male,19,Japan,"Rodriguez, Martin and Berger School",Phoenix,10.0,1405.0,85.0,French,Yes,Yes,2.08,Good
Daniel Wilson,Male,18,Nigeria,Olson-Jones School,Berlin,7.0,1340.0,95.0,Spanish,Yes,No,1.55,Average
Mrs. Patricia Nunez,Female,18,Russia,Mckay-Cummings School,London,6.0,1350.0,86.0,French,No,No,1.56,Average
Kathryn Cline,Female,17,Thailand,"Cox, Perez and Thompson School",Phoenix,7.0,1449.0,77.0,German,Yes,No,2.41,Good
